mode,trial,seed,samples,snps,block_size,blocks,active_blocks,skipped_blocks,latency_ms,protected_blocks,speedup_vs_deterministic_pct,mae_vs_det,mean_signed_vs_det,pearson_vs_det,top_decile_agreement,mae_vs_plain,pearson_vs_plain,keep_prob
product_coupled,29,40,50,10001,64,157,152,5,7.789591919700e+04,140,2.067555771565e+01,3.575792792263e-02,2.023926126498e-02,9.944874080754e-01,8.000000000000e-01,3.575792789933e-02,9.944874080815e-01,6.000000000000e-01
product_coupled,30,41,50,10001,64,157,147,10,7.518687725400e+04,140,2.343428042499e+01,4.389750489722e-02,5.058336659695e-03,9.886229225508e-01,8.000000000000e-01,4.389750485231e-02,9.886229225610e-01,6.000000000000e-01
product_coupled,31,42,50,10001,64,157,149,8,7.605225921000e+04,140,2.255302834233e+01,6.267863969768e-02,5.509813984845e-02,9.898999255117e-01,8.000000000000e-01,6.267863965257e-02,9.898999255107e-01,6.000000000000e-01
product_coupled,32,43,50,10001,64,157,153,4,7.843841729900e+04,140,2.012311081182e+01,4.261587259834e-02,-2.888615716080e-02,9.918471277228e-01,8.000000000000e-01,4.261587263600e-02,9.918471277198e-01,6.000000000000e-01
product_coupled,33,44,50,10001,64,157,151,6,7.730764031700e+04,140,2.127462496519e+01,5.242776334392e-02,-3.586936286866e-02,9.920211757880e-01,1.000000000000e+00,5.242776336669e-02,9.920211757839e-01,6.000000000000e-01
product_coupled,34,45,50,10001,64,157,149,8,7.640252631600e+04,140,2.219633773363e+01,5.083958109164e-02,-3.969702384189e-03,9.863371938491e-01,1.000000000000e+00,5.083958107663e-02,9.863371938548e-01,6.000000000000e-01
product_coupled,35,46,50,10001,64,157,150,7,7.671289479100e+04,140,2.188027745170e+01,4.416596586903e-02,-1.011401519771e-02,9.889206816884e-01,1.000000000000e+00,4.416596591334e-02,9.889206816886e-01,6.000000000000e-01
product_coupled,36,47,50,10001,64,157,148,9,7.583815611500e+04,140,2.277105784602e+01,3.957359672477e-02,1.338471031904e-02,9.912825208224e-01,1.000000000000e+00,3.957359668112e-02,9.912825208253e-01,6.000000000000e-01
product_coupled,37,48,50,10001,64,157,148,9,7.559273895800e+04,140,2.302097567621e+01,4.533351170481e-02,-8.342086400647e-03,9.882901884957e-01,8.000000000000e-01,4.533351169542e-02,9.882901884913e-01,6.000000000000e-01
product_coupled,38,49,50,10001,64,157,151,6,7.689861342700e+04,140,2.169115294590e+01,4.600957558641e-02,-2.532380300535e-02,9.905319294271e-01,1.000000000000e+00,4.600957561157e-02,9.905319294220e-01,6.000000000000e-01
product_coupled,39,50,50,10001,64,157,153,4,7.812524320900e+04,140,2.044202816055e+01,2.402086094198e-02,3.174876008575e-03,9.968718436207e-01,8.000000000000e-01,2.402086090820e-02,9.968718436282e-01,6.000000000000e-01
